took_pre_CC,took_post_CC,CC_ConsensusTemp_pre,CC_Important_pre,CC_HarmPeople_pre,CC_ScientistsWhether_pre,CC_Beliefs_pre,CC_Worried_pre,CC_BeliefsFillIn_pre,CC_ChangeMind_pre,CC_Validation_pre,CC_HarmYou_pre,CC_ScientistsWhy_pre,CC_Happening_pre,CC_ConsensusCause_pre,CC_Thought_pre,CC_Friends_pre,CC_View_pre,CC_HarmPeople_post,CC_Thought_post,CC_Beliefs_post,CC_Worried_post,CC_ConsensusCause_post,CC_View_post,CC_ScientistsWhether_post,CC_BeliefsFillIn_post,CC_ChangeMind_post,CC_ConsensusTemp_post,CC_Validation_post,CC_Important_post,CC_Friends_post,CC_ChangedMe_post,CC_HarmYou_post,CC_Happening_post,CC_ScientistsWhy_post
0,1,,,,,,,,,,,,,,,,,Years26to50,Some,Humans,Somewhat,Both,Unclear,SomewhatAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,Neither,Years10,SomewhatDisagree,Humans,Somewhat,,StronglyAgree,SomewhatAgree,Little,SomewhatDisagree,YesVerySure,Both,Little,Some,Unclear,Now,Little,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Neither,Most,SomewhatAgree,Little,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,StronglyAgree,Very,Few,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Neither,After100,SomewhatAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,Little,SomewhatAgree,YesVerySure,Both,Some,Most,Unclear,Years26to50,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Little,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,Very,Years51to100,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,ALot,Most,Unclear,Years11to25,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,SomewhatAgree,GreatDeal,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,Neither,After100,StronglyAgree,Humans,Somewhat,,StronglyAgree,SomewhatAgree,Little,StronglyAgree,YesVerySure,Humans,Some,Few,Unwilling,Now,Little,Humans,Very,Humans,Unwilling,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Few,StronglyAgree,Moderate,YesVerySure,StronglyAgree
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unclear,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Very,Now,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,ALot,Most,Unwilling,Years10,Some,Humans,Very,Humans,Unwilling,SomewhatAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesVerySure,StronglyAgree
1,0,StronglyAgree,Neither,Years10,SomewhatDisagree,Both,Neither,,Neither,SomewhatAgree,DK,SomewhatDisagree,YesSomeSure,Both,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,SomewhatAgree,Very,Years26to50,StronglyAgree,Both,Somewhat,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Both,Some,Most,Unclear,,,,,,,,,,,,,,,,,
