took_pre_CC,took_post_CC,CCPre_ScientistsWhy_pre,CCPre_ScientistsWhether_pre,CCPre_Happening_pre,CCPre_Causes_pre,CCPre_Worried_pre,CCPre_ConsensusCause_pre,CCPre_Thought_pre,CCPost_Worried_post,CCPost_ScientistsWhy_post,CCPost_Validation_post,CCPost_ScientistsWhether_post,CCPost_Thought_post,CCPost_Causes_post,CCPost_ConsensusCause_post,CCPost_Happening_post,CCPost_ChangedMe_post
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Both,Little,,,,,,,,,
1,1,Neither,Neither,YesExtrSure,HumNat,Somewhat,DK,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Both,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Very,Both,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
0,1,,,,,,,,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Neither,Humans,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,EqualHumNat,Both,YesExtrSure,Neither
1,1,Neither,Neither,YesSomeSure,EqualHumNat,Neither,Both,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesVerySure,Neither
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,,,YesExtrSure,EqualHumNat,,,,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatDisagree,Some,EqualHumNat,Both,YesExtrSure,SomewhatDisagree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
0,1,,,,,,,,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,EqualHumNat,Humans,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,EqualHumNat,Very,Both,,,,,,,,,,
1,0,Neither,StronglyAgree,YesExtrSure,NatHum,NotVery,DK,Little,,,,,,,,,
1,0,DK,DK,YesExtrSure,EqualHumNat,NotAtAll,NoConsensus,NotAtAll,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,EqualHumNat,Very,Both,ALot,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,NatHum,Natural,YesVerySure,StronglyDisagree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Both,Little,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,DK,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,DK,YesSomeSure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,DK,DK,YesVerySure,HumNat,Somewhat,DK,Little,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,DK,Some,,,,,,,,,
